 100.                   ┌─ 67:duf_clarify_xcmd_full_wrap 	                    
 101.                   │  69:duf_clarify_xcmd_full_wrap 	                    
 102.                    ┌─ 28:duf_clarify_xcmd_full   	                    
 103.                     ┌─114:duf_clarify_xcmd_typed  	                    
 104.                      ┌─ 40:duf_tmpdb_add           	                    
 105.                       ┌─100:duf_eval_sqlsq_cb       	                    
 106.                        ┌─ 47:duf_eval_sql_one_cb     	                    
 107.                         ┌─ 16:duf_sql_prepare         	                    
 108.                         └─ 22:duf_sql_prepare         	                     rt=int(0)
 109.                         ┌─ 22:duf_bind_tmp            	                    
 110.                          ┌─206:duf_sql_bindn_string    	                    
 111.                          └─221:duf_sql_bindn_string    	                     rt=int(0)
 112.                          ┌─206:duf_sql_bindn_string    	                    
 113.                          └─221:duf_sql_bindn_string    	                     rt=int(0)
 114.                          ┌─206:duf_sql_bindn_string    	                    
 115.                          └─221:duf_sql_bindn_string    	                     rt=int(0)
 116.                         └─ 34:duf_bind_tmp            	                     rt=int(0)
 117.                         ┌─ 28:duf_sql_step            	                    
 118.                         └─ 33:duf_sql_step            	                     rt=int(-59898)
 119.                         ┌─ 39:duf_sql_finalize        	                    
 120.                         └─ 43:duf_sql_finalize        	                     rt=int(0)
 121.                        └─ 79:duf_eval_sql_one_cb     	                     rt=int(0)
 122.                       └─142:duf_eval_sqlsq_cb       	                     rt=int(0)
 123.                      └─ 57:duf_tmpdb_add           	                     rt=int(0)
 124.                     └─643:duf_clarify_xcmd_typed  	                     rt=int(0)
 125.                    └─ 59:duf_clarify_xcmd_full   	                     rt=int(0)
 126.                   │  72:duf_clarify_xcmd_full_wrap 	                    
 127.                   └─ 73:duf_clarify_xcmd_full_wrap 	                     rt=int(0)
 128.                  └─133:duf_clarify_opt         	                     rt=int(0)
 129.                 └─146:duf_clarify_opt_x       	                     rt=int(0)
 130.                 ┌─140:duf_clarify_opt_x       	                    
 131.                  ┌─ 84:duf_clarify_opt         	                    
 132.                   ┌─ 67:duf_clarify_xcmd_full_wrap 	                    
 133.                   │  69:duf_clarify_xcmd_full_wrap 	                    
 134.                    ┌─ 28:duf_clarify_xcmd_full   	                    
 135.                     ┌─114:duf_clarify_xcmd_typed  	                    
 136.                      ┌─ 64:duf_option_$_evaluate_sccb 	                    
 137.                       ┌─143:duf_ev_pdi_evnamed_list 	                    
 138.                        ┌─ 87:duf_ev_pdi_evnamen      	                    
 139.                         ┌─ 62:duf_ev_pdi_sccb         	                    
 140.                          ┌─ 81:duf_pdi_set_opendir     	                    
 141.                          └─ 88:duf_pdi_set_opendir     	                     rt=int(1)
 142.                          ┌─110:duf_sccbh_eval_sqlsq    	                    
 143.                           ┌─ 16:duf_sccb_eval_sqlsq     	                    
 144.                            ┌─113:_duf_uni_scan_action_title 	                    
 145.                            └─126:_duf_uni_scan_action_title 	                     tree print
 146.                            ┌─151:duf_eval_sqlsq          	                    
 147.                             ┌─100:duf_eval_sqlsq_cb       	                    
 148.                              ┌─ 47:duf_eval_sql_one_cb     	                    
 149.                               ┌─ 16:duf_sql_prepare         	                    
 150.                               └─ 22:duf_sql_prepare         	                     rt=int(0)
 151.                               ┌─ 51:duf_bind_ufilter_uni    	                    
 152.                                ┌─142:duf_sql_bindn_long_long_nz 	                    
 153.                                └─158:duf_sql_bindn_long_long_nz 	                     rt=int(-29959)
 154.                                ┌─142:duf_sql_bindn_long_long_nz 	                    
 155.                                └─158:duf_sql_bindn_long_long_nz 	                     rt=int(-29959)
 156.                               └─186:duf_bind_ufilter_uni    	                     rt=int(0)
 157.                               ┌─ 28:duf_sql_step            	                    
 158.                               └─ 33:duf_sql_step            	                     rt=int(-59898)
 159.                               ┌─ 39:duf_sql_finalize        	                    
 160.                               └─ 43:duf_sql_finalize        	                     rt=int(0)
 161.                              └─ 79:duf_eval_sql_one_cb     	                     rt=int(0)
 162.                              ┌─ 47:duf_eval_sql_one_cb     	                    
 163.                               ┌─ 16:duf_sql_prepare         	                    
 164.                               └─ 22:duf_sql_prepare         	                     rt=int(0)
 165.                               ┌─ 51:duf_bind_ufilter_uni    	                    
 166.                                ┌─142:duf_sql_bindn_long_long_nz 	                    
 167.                                └─158:duf_sql_bindn_long_long_nz 	                     rt=int(-29959)
 168.                                ┌─142:duf_sql_bindn_long_long_nz 	                    
 169.                                └─158:duf_sql_bindn_long_long_nz 	                     rt=int(-29959)
 170.                               └─186:duf_bind_ufilter_uni    	                     rt=int(0)
 171.                               ┌─ 28:duf_sql_step            	                    
 172.                               └─ 33:duf_sql_step            	                     rt=int(-59898)
 173.                               ┌─ 39:duf_sql_finalize        	                    
 174.                               └─ 43:duf_sql_finalize        	                     rt=int(0)
 175.                              └─ 79:duf_eval_sql_one_cb     	                     rt=int(0)
 176.                              ┌─ 47:duf_eval_sql_one_cb     	                    
 177.                               ┌─ 16:duf_sql_prepare         	                    
 178.                               └─ 22:duf_sql_prepare         	                     rt=int(0)
 179.                               ┌─ 51:duf_bind_ufilter_uni    	                    
 180.                                ┌─142:duf_sql_bindn_long_long_nz 	                    
 181.                                └─158:duf_sql_bindn_long_long_nz 	                     rt=int(-29959)
 182.                                ┌─142:duf_sql_bindn_long_long_nz 	                    
 183.                                └─158:duf_sql_bindn_long_long_nz 	                     rt=int(-29959)
 184.                               └─186:duf_bind_ufilter_uni    	                     rt=int(0)
 185.                               ┌─ 28:duf_sql_step            	                    
 186.                               └─ 33:duf_sql_step            	                     rt=int(-59898)
 187.                               ┌─ 39:duf_sql_finalize        	                    
 188.                               └─ 43:duf_sql_finalize        	                     rt=int(0)
 189.                              └─ 79:duf_eval_sql_one_cb     	                     rt=int(0)
 190.                              ┌─ 47:duf_eval_sql_one_cb     	                    
 191.                               ┌─ 16:duf_sql_prepare         	                    
 192.                               └─ 22:duf_sql_prepare         	                     rt=int(0)
 193.                               ┌─ 51:duf_bind_ufilter_uni    	                    
 194.                                ┌─142:duf_sql_bindn_long_long_nz 	                    
 195.                                └─158:duf_sql_bindn_long_long_nz 	                     rt=int(-29959)
 196.                                ┌─142:duf_sql_bindn_long_long_nz 	                    
 197.                                └─158:duf_sql_bindn_long_long_nz 	                     rt=int(0)
 198.                               └─186:duf_bind_ufilter_uni    	                     rt=int(0)
 199.                               ┌─ 28:duf_sql_step            	                    
 200.                               └─ 33:duf_sql_step            	                     rt=int(-59898)
 201.                               ┌─ 39:duf_sql_finalize        	                    
 202.                               └─ 43:duf_sql_finalize        	                     rt=int(0)
 203.                              └─ 79:duf_eval_sql_one_cb     	                     rt=int(0)
 204.                              ┌─ 47:duf_eval_sql_one_cb     	                    
 205.                               ┌─ 16:duf_sql_prepare         	                    
 206.                               └─ 22:duf_sql_prepare         	                     rt=int(0)
 207.                               ┌─ 51:duf_bind_ufilter_uni    	                    
 208.                                ┌─142:duf_sql_bindn_long_long_nz 	                    
 209.                                └─158:duf_sql_bindn_long_long_nz 	                     rt=int(-29959)
 210.                                ┌─142:duf_sql_bindn_long_long_nz 	                    
 211.                                └─158:duf_sql_bindn_long_long_nz 	                     rt=int(-29959)
 212.                               └─186:duf_bind_ufilter_uni    	                     rt=int(0)
 213.                               ┌─ 28:duf_sql_step            	                    
 214.                               └─ 33:duf_sql_step            	                     rt=int(-59898)
 215.                               ┌─ 39:duf_sql_finalize        	                    
 216.                               └─ 43:duf_sql_finalize        	                     rt=int(0)
 217.                              └─ 79:duf_eval_sql_one_cb     	                     rt=int(0)
 218.                              ┌─ 47:duf_eval_sql_one_cb     	                    
 219.                               ┌─ 16:duf_sql_prepare         	                    
 220.                               └─ 22:duf_sql_prepare         	                     rt=int(0)
 221.                               ┌─ 51:duf_bind_ufilter_uni    	                    
 222.                                ┌─142:duf_sql_bindn_long_long_nz 	                    
 223.                                └─158:duf_sql_bindn_long_long_nz 	                     rt=int(-29959)
 224.                                ┌─142:duf_sql_bindn_long_long_nz 	                    
 225.                                └─158:duf_sql_bindn_long_long_nz 	                     rt=int(-29959)
 226.                               └─186:duf_bind_ufilter_uni    	                     rt=int(0)
 227.                               ┌─ 28:duf_sql_step            	                    
 228.                               └─ 33:duf_sql_step            	                     rt=int(-59898)
 229.                               ┌─ 39:duf_sql_finalize        	                    
 230.                               └─ 43:duf_sql_finalize        	                     rt=int(0)
 231.                              └─ 79:duf_eval_sql_one_cb     	                     rt=int(0)
 232.                              ┌─ 47:duf_eval_sql_one_cb     	                    
 233.                               ┌─ 16:duf_sql_prepare         	                    
 234.                               └─ 22:duf_sql_prepare         	                     rt=int(0)
 235.                               ┌─ 51:duf_bind_ufilter_uni    	                    
 236.                                ┌─142:duf_sql_bindn_long_long_nz 	                    
 237.                                └─158:duf_sql_bindn_long_long_nz 	                     rt=int(-29959)
 238.                                ┌─142:duf_sql_bindn_long_long_nz 	                    
 239.                                └─158:duf_sql_bindn_long_long_nz 	                     rt=int(-29959)
 240.                               └─186:duf_bind_ufilter_uni    	                     rt=int(0)
 241.                               ┌─ 28:duf_sql_step            	                    
 242.                               └─ 33:duf_sql_step            	                     rt=int(-59898)
 243.                               ┌─ 39:duf_sql_finalize        	                    
 244.                               └─ 43:duf_sql_finalize        	                     rt=int(0)
 245.                              └─ 79:duf_eval_sql_one_cb     	                     rt=int(0)
 246.                              ┌─ 47:duf_eval_sql_one_cb     	                    
 247.                               ┌─ 16:duf_sql_prepare         	                    
 248.                               └─ 22:duf_sql_prepare         	                     rt=int(0)
 249.                               ┌─ 51:duf_bind_ufilter_uni    	                    
 250.                                ┌─142:duf_sql_bindn_long_long_nz 	                    
 251.                                └─158:duf_sql_bindn_long_long_nz 	                     rt=int(-29959)
 252.                                ┌─142:duf_sql_bindn_long_long_nz 	                    
 253.                                └─158:duf_sql_bindn_long_long_nz 	                     rt=int(-29959)
 254.                               └─186:duf_bind_ufilter_uni    	                     rt=int(0)
 255.                               ┌─ 28:duf_sql_step            	                    
 256.                               └─ 33:duf_sql_step            	                     rt=int(-59898)
 257.                               ┌─ 39:duf_sql_finalize        	                    
 258.                               └─ 43:duf_sql_finalize        	                     rt=int(0)
 259.                              └─ 79:duf_eval_sql_one_cb     	                     rt=int(0)
 260.                              ┌─ 47:duf_eval_sql_one_cb     	                    
 261.                               ┌─ 16:duf_sql_prepare         	                    
 262.                               └─ 22:duf_sql_prepare         	                     rt=int(0)
 263.                               ┌─ 51:duf_bind_ufilter_uni    	                    
 264.                                ┌─142:duf_sql_bindn_long_long_nz 	                    
 265.                                └─158:duf_sql_bindn_long_long_nz 	                     rt=int(-29959)
 266.                                ┌─142:duf_sql_bindn_long_long_nz 	                    
 267.                                └─158:duf_sql_bindn_long_long_nz 	                     rt=int(-29959)
 268.                               └─186:duf_bind_ufilter_uni    	                     rt=int(0)
 269.                               ┌─ 28:duf_sql_step            	                    
 270.                               └─ 33:duf_sql_step            	                     rt=int(-59898)
 271.                               ┌─ 39:duf_sql_finalize        	                    
 272.                               └─ 43:duf_sql_finalize        	                     rt=int(0)
 273.                              └─ 79:duf_eval_sql_one_cb     	                     rt=int(0)
 274.                              ┌─ 47:duf_eval_sql_one_cb     	                    
 275.                               ┌─ 16:duf_sql_prepare         	                    
 276.                               └─ 22:duf_sql_prepare         	                     rt=int(0)
 277.                               ┌─ 51:duf_bind_ufilter_uni    	                    
 278.                                ┌─142:duf_sql_bindn_long_long_nz 	                    
 279.                                └─158:duf_sql_bindn_long_long_nz 	                     rt=int(-29959)
 280.                                ┌─142:duf_sql_bindn_long_long_nz 	                    
 281.                                └─158:duf_sql_bindn_long_long_nz 	                     rt=int(-29959)
 282.                               └─186:duf_bind_ufilter_uni    	                     rt=int(0)
 283.                               ┌─ 28:duf_sql_step            	                    
 284.                               └─ 33:duf_sql_step            	                     rt=int(-59898)
 285.                               ┌─ 39:duf_sql_finalize        	                    
 286.                               └─ 43:duf_sql_finalize        	                     rt=int(0)
 287.                              └─ 79:duf_eval_sql_one_cb     	                     rt=int(0)
 288.                              ┌─ 47:duf_eval_sql_one_cb     	                    
 289.                               ┌─ 16:duf_sql_prepare         	                    
 290.                               └─ 22:duf_sql_prepare         	                     rt=int(0)
 291.                               ┌─ 51:duf_bind_ufilter_uni    	                    
 292.                                ┌─142:duf_sql_bindn_long_long_nz 	                    
 293.                                └─158:duf_sql_bindn_long_long_nz 	                     rt=int(-29959)
 294.                                ┌─142:duf_sql_bindn_long_long_nz 	                    
 295.                                └─158:duf_sql_bindn_long_long_nz 	                     rt=int(-29959)
 296.                               └─186:duf_bind_ufilter_uni    	                     rt=int(0)
 297.                               ┌─ 28:duf_sql_step            	                    
 298.                               └─ 33:duf_sql_step            	                     rt=int(-59898)
 299.                               ┌─ 39:duf_sql_finalize        	                    
 300.                               └─ 43:duf_sql_finalize        	                     rt=int(0)
 301.                              └─ 79:duf_eval_sql_one_cb     	                     rt=int(0)
 302.                              ┌─ 47:duf_eval_sql_one_cb     	                    
 303.                               ┌─ 16:duf_sql_prepare         	                    
 304.                               └─ 22:duf_sql_prepare         	                     rt=int(0)
 305.                               ┌─ 51:duf_bind_ufilter_uni    	                    
 306.                                ┌─142:duf_sql_bindn_long_long_nz 	                    
 307.                                └─158:duf_sql_bindn_long_long_nz 	                     rt=int(-29959)
 308.                                ┌─142:duf_sql_bindn_long_long_nz 	                    
 309.                                └─158:duf_sql_bindn_long_long_nz 	                     rt=int(-29959)
 310.                               └─186:duf_bind_ufilter_uni    	                     rt=int(0)
 311.                               ┌─ 28:duf_sql_step            	                    
 312.                               └─ 33:duf_sql_step            	                     rt=int(-59898)
 313.                               ┌─ 39:duf_sql_finalize        	                    
 314.                               └─ 43:duf_sql_finalize        	                     rt=int(0)
 315.                              └─ 79:duf_eval_sql_one_cb     	                     rt=int(0)
 316.                              ┌─ 47:duf_eval_sql_one_cb     	                    
 317.                               ┌─ 16:duf_sql_prepare         	                    
 318.                               └─ 22:duf_sql_prepare         	                     rt=int(0)
 319.                               ┌─ 51:duf_bind_ufilter_uni    	                    
 320.                                ┌─142:duf_sql_bindn_long_long_nz 	                    
 321.                                └─158:duf_sql_bindn_long_long_nz 	                     rt=int(-29959)
 322.                                ┌─142:duf_sql_bindn_long_long_nz 	                    
 323.                                └─158:duf_sql_bindn_long_long_nz 	                     rt=int(-29959)
 324.                               └─186:duf_bind_ufilter_uni    	                     rt=int(0)
 325.                               ┌─ 28:duf_sql_step            	                    
 326.                               └─ 33:duf_sql_step            	                     rt=int(-59898)
 327.                               ┌─ 39:duf_sql_finalize        	                    
 328.                               └─ 43:duf_sql_finalize        	                     rt=int(0)
 329.                              └─ 79:duf_eval_sql_one_cb     	                     rt=int(0)
 330.                              ┌─ 47:duf_eval_sql_one_cb     	                    
 331.                               ┌─ 16:duf_sql_prepare         	                    
 332.                               └─ 22:duf_sql_prepare         	                     rt=int(0)
 333.                               ┌─ 51:duf_bind_ufilter_uni    	                    
 334.                                ┌─142:duf_sql_bindn_long_long_nz 	                    
 335.                                └─158:duf_sql_bindn_long_long_nz 	                     rt=int(-29959)
 336.                                ┌─142:duf_sql_bindn_long_long_nz 	                    
 337.                                └─158:duf_sql_bindn_long_long_nz 	                     rt=int(-29959)
 338.                               └─186:duf_bind_ufilter_uni    	                     rt=int(0)
 339.                               ┌─ 28:duf_sql_step            	                    
 340.                               └─ 33:duf_sql_step            	                     rt=int(-59898)
 341.                               ┌─ 39:duf_sql_finalize        	                    
 342.                               └─ 43:duf_sql_finalize        	                     rt=int(0)
 343.                              └─ 79:duf_eval_sql_one_cb     	                     rt=int(0)
 344.                              ┌─ 47:duf_eval_sql_one_cb     	                    
 345.                               ┌─ 16:duf_sql_prepare         	                    
 346.                               └─ 22:duf_sql_prepare         	                     rt=int(0)
 347.                               ┌─ 51:duf_bind_ufilter_uni    	                    
 348.                                ┌─142:duf_sql_bindn_long_long_nz 	                    
 349.                                └─158:duf_sql_bindn_long_long_nz 	                     rt=int(-29959)
 350.                                ┌─142:duf_sql_bindn_long_long_nz 	                    
 351.                                └─158:duf_sql_bindn_long_long_nz 	                     rt=int(-29959)
 352.                               └─186:duf_bind_ufilter_uni    	                     rt=int(0)
 353.                               ┌─ 28:duf_sql_step            	                    
 354.                               └─ 33:duf_sql_step            	                     rt=int(-59898)
 355.                               ┌─ 39:duf_sql_finalize        	                    
 356.                               └─ 43:duf_sql_finalize        	                     rt=int(0)
 357.                              └─ 79:duf_eval_sql_one_cb     	                     rt=int(0)
 358.                              ┌─ 47:duf_eval_sql_one_cb     	                    
 359.                               ┌─ 16:duf_sql_prepare         	                    
 360.                               └─ 22:duf_sql_prepare         	                     rt=int(0)
 361.                               ┌─ 51:duf_bind_ufilter_uni    	                    
 362.                                ┌─142:duf_sql_bindn_long_long_nz 	                    
 363.                                └─158:duf_sql_bindn_long_long_nz 	                     rt=int(-29959)
 364.                                ┌─142:duf_sql_bindn_long_long_nz 	                    
 365.                                └─158:duf_sql_bindn_long_long_nz 	                     rt=int(-29959)
 366.                               └─186:duf_bind_ufilter_uni    	                     rt=int(0)
 367.                               ┌─ 28:duf_sql_step            	                    
 368.                               └─ 33:duf_sql_step            	                     rt=int(-59898)
 369.                               ┌─ 39:duf_sql_finalize        	                    
 370.                               └─ 43:duf_sql_finalize        	                     rt=int(0)
 371.                              └─ 79:duf_eval_sql_one_cb     	                     rt=int(0)
 372.                              ┌─ 47:duf_eval_sql_one_cb     	                    
 373.                               ┌─ 16:duf_sql_prepare         	                    
 374.                               └─ 22:duf_sql_prepare         	                     rt=int(0)
 375.                               ┌─ 51:duf_bind_ufilter_uni    	                    
 376.                                ┌─142:duf_sql_bindn_long_long_nz 	                    
 377.                                └─158:duf_sql_bindn_long_long_nz 	                     rt=int(-29959)
 378.                                ┌─142:duf_sql_bindn_long_long_nz 	                    
 379.                                └─158:duf_sql_bindn_long_long_nz 	                     rt=int(-29959)
 380.                               └─186:duf_bind_ufilter_uni    	                     rt=int(0)
 381.                               ┌─ 28:duf_sql_step            	                    
 382.                               └─ 33:duf_sql_step            	                     rt=int(-59898)
 383.                               ┌─ 39:duf_sql_finalize        	                    
 384.                               └─ 43:duf_sql_finalize        	                     rt=int(0)
 385.                              └─ 79:duf_eval_sql_one_cb     	                     rt=int(0)
 386.                              ┌─ 47:duf_eval_sql_one_cb     	                    
 387.                               ┌─ 16:duf_sql_prepare         	                    
 388.                               └─ 22:duf_sql_prepare         	                     rt=int(0)
 389.                               ┌─ 51:duf_bind_ufilter_uni    	                    
 390.                                ┌─142:duf_sql_bindn_long_long_nz 	                    
 391.                                └─158:duf_sql_bindn_long_long_nz 	                     rt=int(-29959)
 392.                                ┌─142:duf_sql_bindn_long_long_nz 	                    
 393.                                └─158:duf_sql_bindn_long_long_nz 	                     rt=int(-29959)
 394.                               └─186:duf_bind_ufilter_uni    	                     rt=int(0)
 395.                               ┌─ 28:duf_sql_step            	                    
 396.                               └─ 33:duf_sql_step            	                     rt=int(-59898)
 397.                               ┌─ 39:duf_sql_finalize        	                    
 398.                               └─ 43:duf_sql_finalize        	                     rt=int(0)
 399.                              └─ 79:duf_eval_sql_one_cb     	                     rt=int(0)
 400.                              ┌─ 47:duf_eval_sql_one_cb     	                    
 401.                               ┌─ 16:duf_sql_prepare         	                    
